row_names,TIMESTAMP,RECORD,BattV_Min,PTemp_C_Avg,AirTC_Avg,AirTC_Max,AirTC_TMx,AirTC_Min,AirTC_TMn,RH_Max,RH_TMx,RH_Min,RH_TMn,SlrW_Avg,SlrW_Max,SlrW_TMx,SlrMJ_Tot,Rain_mm_Tot,WS_ms_Avg,WS_ms_Max,WS_ms_TMx,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,ETos,Rso,BP_mbar_Avg,BP_mbar_Max,BP_mbar_TMx,BP_mbar_Min,BP_mbar_TMn,VWC_Avg,VWC_Max,VWC_TMx,VWC_Min,VWC_TMn,EC_Avg,EC_Max,EC_TMx,EC_Min,EC_TMn,T_Avg,T_Max,T_TMx,T_Min,T_TMn,SunHrs_Tot,HalfBr_Max,HalfBr_TMx,HalfBr_Min,HalfBr_TMn
21,"2019-06-19 00:00:00",20,12.36,31.28,28.61,31.61,"2019-06-18 12:37:15",27.12,"2019-06-18 21:11:20",88.3,"2019-06-18 21:30:30",64.52,"2019-06-18 12:37:20",260.5,1207,"2019-06-18 12:32:25",22.50547,0,3.661,11.23,"2019-06-18 12:25:45",3.661,80.8,31.79,4.169,3.15,1018.086,1019.437,"2019-06-18 23:09:25",1016.652,"2019-06-18 16:31:00",0.302,0.406,"2019-06-18 03:50:00",0.224,"2019-06-18 23:52:40",0.148,0.221,"2019-06-18 00:05:05",0.096,"2019-06-18 23:53:30",29.22,36.06,"2019-06-18 13:58:50",26.5,"2019-06-18 05:57:55",10.64,11.92,"2019-06-18 01:20:20",11.04,"2019-06-18 22:53:50"
22,"2019-06-20 00:00:00",21,12.22,31.44,28.81,31.18,"2019-06-19 12:58:05",27.5,"2019-06-19 02:55:40",86.6,"2019-06-19 03:55:45",67.48,"2019-06-19 12:37:40",290.5,1128,"2019-06-19 11:33:00",25.09868,0,4.06,10.37,"2019-06-19 16:57:40",4.06,92.6,26.83,4.594,3.148,1017.991,1019.175,"2019-06-19 09:38:30",1016.131,"2019-06-19 16:45:25",0.201,0.225,"2019-06-19 00:00:40",0.174,"2019-06-19 23:55:55",0.084,0.096,"2019-06-19 00:01:55",0.068,"2019-06-19 23:40:00",29.3,36.01,"2019-06-19 13:41:55",26.04,"2019-06-19 06:08:15",10.66,15.81,"2019-06-19 13:30:10",10.91,"2019-06-19 09:07:55"
23,"2019-06-21 00:00:00",22,12.14,31.26,28.8,31.4,"2019-06-20 12:04:25",27.49,"2019-06-20 03:00:55",86.5,"2019-06-20 02:54:50",66.28,"2019-06-20 11:48:45",NULL,NULL,"2019-06-20 05:46:05",NULL,0,4.453,9.45,"2019-06-20 09:11:50",4.453,93.4,18.49,NULL,3.147,1019.299,1020.534,"2019-06-20 11:08:00",1017.751,"2019-06-20 02:54:55",0.157,0.174,"2019-06-20 00:00:25",0.14,"2019-06-20 23:07:15",0.061,0.069,"2019-06-20 00:01:30",0.052,"2019-06-20 23:47:30",29.45,36.24,"2019-06-20 13:45:05",26.46,"2019-06-20 03:26:25",10.57,15.23,"2019-06-20 00:30:05",14.41,"2019-06-20 23:52:00"
24,"2019-06-22 00:00:00",23,12.05,31.17,28.72,31.42,"2019-06-21 13:21:35",27.33,"2019-06-21 05:00:15",85.4,"2019-06-21 01:55:00",65.49,"2019-06-21 12:59:50",NULL,NULL,"2019-06-21 05:39:20",NULL,0,3.669,8.6,"2019-06-21 23:35:20",3.669,91.3,22.47,NULL,3.15,1019.6,1020.761,"2019-06-21 22:32:00",1018.578,"2019-06-21 16:10:20",0.129,0.14,"2019-06-21 00:00:05",0.117,"2019-06-21 23:54:55",0.047,0.052,"2019-06-21 00:17:10",0.041,"2019-06-21 23:48:25",29.98,38.71,"2019-06-21 13:49:25",26.02,"2019-06-21 05:40:50",10.83,14.48,"2019-06-21 01:46:15",13.57,"2019-06-21 23:35:45"
25,"2019-06-23 00:00:00",24,11.93,31.37,28.74,31.48,"2019-06-22 13:35:00",27.32,"2019-06-22 03:36:50",83,"2019-06-22 02:33:10",57.15,"2019-06-22 11:50:30",304.3,1143,"2019-06-22 10:40:00",26.29238,0,3.5,8.78,"2019-06-22 07:59:55",3.5,84.9,28.27,4.921,3.163,1019.103,1020.262,"2019-06-22 00:01:10",1017.485,"2019-06-22 16:19:15",0.109,0.117,"2019-06-22 01:40:15",0.099,"2019-06-22 20:24:30",0.039,0.042,"2019-06-22 00:03:25",0.034,"2019-06-22 23:07:15",30.95,41.38,"2019-06-22 13:40:35",26.25,"2019-06-22 05:59:00",10.68,13.67,"2019-06-22 02:37:25",12.63,"2019-06-22 23:59:25"
26,"2019-06-24 00:00:00",25,11.83,30.92,28.51,31.5,"2019-06-23 12:30:40",26.2,"2019-06-23 16:05:45",93.3,"2019-06-23 16:10:55",65.33,"2019-06-23 11:03:30",246.7,1368,"2019-06-23 13:06:00",21.31516,7.112,3.168,8.45,"2019-06-23 00:12:45",3.168,87.3,28.14,4.021,3.152,1017.583,1019.222,"2019-06-23 00:00:05",1016.199,"2019-06-23 15:18:10",0.095,0.1,"2019-06-23 00:02:55",0.09,"2019-06-23 15:37:50",0.033,0.035,"2019-06-23 16:07:35",0.032,"2019-06-23 15:50:55",30.09,41.11,"2019-06-23 12:56:15",26.18,"2019-06-23 06:06:20",10.87,12.87,"2019-06-23 16:40:30",12.12,"2019-06-23 15:46:35"
27,"2019-06-25 00:00:00",26,11.71,30.63,28.37,30.78,"2019-06-24 12:22:45",26.42,"2019-06-24 04:19:50",92.7,"2019-06-24 04:26:05",73.31,"2019-06-24 12:00:40",220.1,1487,"2019-06-24 13:07:10",19.01347,0.254,2.822,8.02,"2019-06-24 00:31:55",2.822,89.9,29.65,3.618,3.139,1015.938,1017.08,"2019-06-24 23:05:25",1014.859,"2019-06-24 16:22:00",0.094,0.096,"2019-06-24 07:33:20",0.091,"2019-06-24 20:02:25",0.032,0.033,"2019-06-24 13:10:45",0.03,"2019-06-24 23:50:15",29.06,37.47,"2019-06-24 13:08:45",25.79,"2019-06-24 04:36:45",10.78,12.81,"2019-06-24 02:54:50",12.2,"2019-06-24 23:58:10"
28,"2019-06-26 00:00:00",27,11.58,31.45,28.93,31.36,"2019-06-25 13:26:00",27.28,"2019-06-25 05:25:45",89.5,"2019-06-25 03:10:15",64.62,"2019-06-25 11:58:40",277.2,1155,"2019-06-25 13:48:20",23.95439,0,3.189,7.213,"2019-06-25 09:51:15",3.189,96.6,21.45,4.544,3.146,1016.477,1018.063,"2019-06-25 22:10:15",1015.143,"2019-06-25 04:45:30",0.088,0.092,"2019-06-25 08:34:35",0.082,"2019-06-25 22:34:50",0.029,0.031,"2019-06-25 00:13:20",0.027,"2019-06-25 23:42:00",30.68,40.27,"2019-06-25 13:26:30",26.39,"2019-06-25 05:36:15",10.6,12.22,"2019-06-25 02:19:30",11.37,"2019-06-25 23:47:30"
29,"2019-06-27 00:00:00",28,11.45,31.36,28.84,31.53,"2019-06-26 12:14:05",27.06,"2019-06-26 05:34:25",83.1,"2019-06-26 05:25:35",63.33,"2019-06-26 12:42:30",285.5,1029,"2019-06-26 11:27:00",24.67033,0,2.986,8.06,"2019-06-26 20:57:50",2.986,95.8,25.47,4.715,3.158,1017.01,1018.596,"2019-06-26 09:16:30",1015.303,"2019-06-26 16:24:20",0.079,0.083,"2019-06-26 06:52:15",0.073,"2019-06-26 19:58:00",0.026,0.028,"2019-06-26 00:02:00",0.024,"2019-06-26 23:20:50",31.37,42.16,"2019-06-26 13:20:45",26.36,"2019-06-26 05:37:30",10.65,11.42,"2019-06-26 00:03:35",10.53,"2019-06-26 23:50:40"
30,"2019-06-28 00:00:00",29,11.28,30.24,28.26,30.4,"2019-06-27 14:18:25",25.6,"2019-06-27 12:01:10",92.8,"2019-06-27 12:07:50",65.69,"2019-06-27 14:03:25",226.7,1364,"2019-06-27 12:17:15",19.58926,0.254,3.966,9.8,"2019-06-27 09:06:05",3.966,96.8,22.54,3.575,3.165,1016.77,1018.335,"2019-06-27 22:42:10",1015.255,"2019-06-27 02:28:45",0.076,0.081,"2019-06-27 22:34:10",0.072,"2019-06-27 09:56:40",0.026,0.029,"2019-06-27 16:00:45",0.022,"2019-06-27 11:19:30",27.98,32.32,"2019-06-27 09:31:55",25.51,"2019-06-27 23:56:55",10.64,23.55,"2019-06-27 19:58:15",10.46,"2019-06-27 09:06:15"
31,"2019-06-29 00:00:00",30,11.13,30.86,28.52,30.61,"2019-06-28 13:11:00",25.38,"2019-06-28 05:08:15",89.6,"2019-06-28 04:29:00",68.85,"2019-06-28 14:38:15",269.6,1294,"2019-06-28 12:15:55",23.29207,0,3.965,11.25,"2019-06-28 12:47:50",3.965,92.8,27.99,4.257,3.155,1017.667,1018.947,"2019-06-28 22:10:15",1016.167,"2019-06-28 02:30:00",0.08,0.083,"2019-06-28 08:27:20",0.077,"2019-06-28 16:34:55",0.027,0.029,"2019-06-28 03:21:50",0.025,"2019-06-28 23:51:00",28.87,37.33,"2019-06-28 13:51:05",24.77,"2019-06-28 05:27:00",10.62,23.57,"2019-06-28 05:18:30",21.58,"2019-06-28 23:59:05"
32,"2019-06-30 00:00:00",31,10.91,31.65,29,31.5,"2019-06-29 13:13:35",27.35,"2019-06-29 06:34:45",86.7,"2019-06-29 07:14:30",67.94,"2019-06-29 15:29:10",269.8,1295,"2019-06-29 12:33:45",23.31223,0,3.402,10.49,"2019-06-29 13:49:50",3.402,86.4,34.95,4.392,3.15,1017.656,1018.729,"2019-06-29 12:00:25",1016.242,"2019-06-29 04:01:55",0.075,0.078,"2019-06-29 02:47:20",0.071,"2019-06-29 18:28:50",0.024,0.026,"2019-06-29 13:35:10",0.022,"2019-06-29 23:14:30",30.48,39.91,"2019-06-29 13:38:25",26.68,"2019-06-29 05:42:10",10.63,21.7,"2019-06-29 04:06:15",20.73,"2019-06-29 23:40:55"
33,"2019-07-02 00:00:00",32,10.97,32.86,29.51,32.03,"2019-07-01 13:01:45",27.3,"2019-07-01 23:23:05",83.5,"2019-07-01 23:23:15",66.04,"2019-07-01 10:14:30",380.4,1171,"2019-07-01 12:23:25",20.96995,0,3.071,8.25,"2019-07-01 11:06:30",3.071,92.2,26.83,4.046,1.163,1016.907,1017.95,"2019-07-01 10:15:45",1015.436,"2019-07-01 16:25:25",0.065,0.067,"2019-07-01 09:36:20",0.062,"2019-07-01 19:37:00",0.02,0.022,"2019-07-01 13:38:00",0.019,"2019-07-01 23:39:55",33.82,43.16,"2019-07-01 13:32:15",27.46,"2019-07-01 23:58:00",7.621,19.83,"2019-07-01 08:59:45",19,"2019-07-01 23:59:30"
