"TOA5","La Guerite","CR300","13940","CR300-CELL200.Std.08.01","CPU:La Guerite.CR300","13677","Daily"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Max","AirTC_Max","AirTC_TMx","AirTC_Avg","AirTC_Min","AirTC_TMn","AirTC_Std","RH_Max","RH_TMx","RH_Min","RH_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Tot","Rain_mm_Tot","VWC_Max","VWC_TMx","VWC_Avg","VWC_Min","VWC_TMn","EC_Max","EC_TMx","EC_Avg","EC_Min","EC_TMn","T_Max","T_TMx","T_Avg","T_Min","T_TMn"
"TS","RN","Volts","Deg C","Deg C","","Deg C","Deg C","","Deg C","%","","%","","kW/m^2","","MJ/m^2","mm","m^3/m^3","","m^3/m^3","m^3/m^3","","dS/m","","dS/m","dS/m","","Deg C","","Deg C","Deg C",""
"","","Min","Max","Max","TMx","Avg","Min","TMn","Std","Max","TMx","Min","TMn","Max","TMx","Tot","Tot","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn"
"2020-02-19 00:00:00",20,12.65,43.41,29.04,"2020-02-18 14:36:50",25.99,23.09,"2020-02-18 03:53:30",1.657,86.9,"2020-02-18 21:28:00",59.87,"2020-02-18 10:36:20",1.214,"2020-02-18 12:12:10",20.82273,0,0.311,"2020-02-18 00:00:10",0.302,0.296,"2020-02-18 21:14:10",0.099,"2020-02-18 00:09:30",0.096,0.094,"2020-02-18 23:05:50",33.56,"2020-02-18 13:22:20",26.13,22.68,"2020-02-18 03:58:10"
"2020-02-20 00:00:00",21,12.67,42.7,29.6,"2020-02-19 11:04:20",26.1,24.22,"2020-02-19 02:10:30",1.648,80.4,"2020-02-19 07:09:20",56.62,"2020-02-19 11:09:50",1.221,"2020-02-19 12:24:10",19.4949,0,0.298,"2020-02-19 00:03:20",0.293,0.287,"2020-02-19 19:45:50",0.099,"2020-02-19 15:53:30",0.095,0.092,"2020-02-19 07:52:10",35.63,"2020-02-19 12:25:50",26.67,23.03,"2020-02-19 03:10:30"
"2020-02-21 00:00:00",22,12.68,43.91,29.71,"2020-02-20 11:32:40",26.14,24.19,"2020-02-20 05:46:10",1.688,75.32,"2020-02-20 04:11:20",51.86,"2020-02-20 15:06:00",1.176,"2020-02-20 11:39:40",22.21151,0,0.291,"2020-02-20 01:16:20",0.285,0.28,"2020-02-20 23:54:10",0.1,"2020-02-20 15:01:10",0.096,0.093,"2020-02-20 07:43:30",35.17,"2020-02-20 11:54:10",26.99,22.7,"2020-02-20 06:00:10"
"2020-02-22 00:00:00",23,12.68,43.69,30.08,"2020-02-21 13:06:40",25.75,23.3,"2020-02-21 20:57:00",1.955,82.9,"2020-02-21 21:34:40",53.1,"2020-02-21 11:45:50",1.139,"2020-02-21 12:06:00",20.55168,0,0.282,"2020-02-21 01:26:00",0.277,0.273,"2020-02-21 18:20:10",0.101,"2020-02-21 18:02:40",0.096,0.092,"2020-02-21 08:16:30",37.06,"2020-02-21 12:43:00",27.28,22.81,"2020-02-21 05:52:40"
"2020-02-23 00:00:00",24,12.66,46.32,30.76,"2020-02-22 16:05:20",25.53,22.03,"2020-02-22 04:22:50",2.565,92.6,"2020-02-22 04:29:30",52.7,"2020-02-22 16:05:50",1.338,"2020-02-22 11:04:30",20.84478,0.254,0.28,"2020-02-22 05:07:40",0.275,0.269,"2020-02-22 21:42:50",0.103,"2020-02-22 15:17:30",0.099,0.094,"2020-02-22 04:34:10",39.4,"2020-02-22 13:38:50",27.52,22.43,"2020-02-22 04:29:50"
"2020-02-24 00:00:00",25,12.68,44.68,29.76,"2020-02-23 12:10:30",25.13,21.65,"2020-02-23 22:10:20",2.942,91.2,"2020-02-23 05:55:00",54.61,"2020-02-23 09:14:30",1.117,"2020-02-23 13:21:10",22.2719,0,0.271,"2020-02-23 12:57:40",0.269,0.265,"2020-02-23 20:55:40",0.103,"2020-02-23 17:23:40",0.099,0.096,"2020-02-23 07:06:30",36.75,"2020-02-23 12:23:00",26.93,21.94,"2020-02-23 23:58:50"
"2020-02-25 00:00:00",26,12.64,46.87,31.63,"2020-02-24 16:08:10",25.53,20.46,"2020-02-24 04:34:00",3.805,86.4,"2020-02-24 02:55:00",44.88,"2020-02-24 16:08:20",0.939,"2020-02-24 13:28:30",23.25328,0,0.268,"2020-02-24 00:00:10",0.264,0.261,"2020-02-24 14:53:20",0.103,"2020-02-24 17:13:30",0.099,0.095,"2020-02-24 07:27:50",37.67,"2020-02-24 13:24:20",26.6,20.21,"2020-02-24 06:42:40"
"2020-02-26 00:00:00",27,12.67,45.05,30.79,"2020-02-25 11:22:30",26.24,22.55,"2020-02-25 05:27:00",2.685,85.1,"2020-02-25 05:27:30",56.04,"2020-02-25 14:37:40",1.095,"2020-02-25 11:38:40",21.39944,0,0.265,"2020-02-25 12:37:10",0.263,0.261,"2020-02-25 21:28:10",0.107,"2020-02-25 16:56:00",0.102,0.098,"2020-02-25 06:58:40",36.85,"2020-02-25 13:16:50",27.5,22.4,"2020-02-25 06:27:00"
"2020-02-27 00:00:00",28,12.69,36.83,27.9,"2020-02-26 11:48:00",24.42,22.59,"2020-02-26 17:54:10",0.916,96.2,"2020-02-26 09:12:40",72.59,"2020-02-26 11:50:10","NAN","2020-02-26 18:05:00","NAN",8.64,0.305,"2020-02-26 10:07:50",0.279,0.259,"2020-02-26 06:00:30",0.149,"2020-02-26 10:17:50",0.124,0.102,"2020-02-26 05:47:10",30.07,"2020-02-26 12:41:40",24.96,22.61,"2020-02-26 23:58:40"
"2020-02-28 00:00:00",29,12.66,44.61,31.47,"2020-02-27 15:12:20",25.93,22.15,"2020-02-27 05:52:50",2.662,85.4,"2020-02-27 19:59:30",54.21,"2020-02-27 15:12:50",1.124,"2020-02-27 11:06:30",21.52581,0,0.286,"2020-02-27 00:00:10",0.283,0.279,"2020-02-27 22:56:50",0.141,"2020-02-27 22:39:20",0.132,0.126,"2020-02-27 06:47:50",35.45,"2020-02-27 13:09:10",26.55,21.55,"2020-02-27 05:40:50"
